"T";"S2"
1.300000000000e+03;5.645328103607e+18
1.305000000000e+03;5.623698510865e+18
1.310000000000e+03;5.602233844868e+18
1.315000000000e+03;5.580933006103e+18
1.320000000000e+03;5.559792696035e+18
1.325000000000e+03;5.538812364910e+18
1.330000000000e+03;5.517989813703e+18
1.335000000000e+03;5.497323393147e+18
1.340000000000e+03;5.476810904220e+18
1.345000000000e+03;5.456451247408e+18
1.350000000000e+03;5.436242223690e+18
1.355000000000e+03;5.416182183797e+18
1.360000000000e+03;5.396269478462e+18
1.365000000000e+03;5.376503008173e+18
1.370000000000e+03;5.356880573908e+18
1.375000000000e+03;5.337401076155e+18
1.380000000000e+03;5.318062865646e+18
1.385000000000e+03;5.298863743357e+18
1.390000000000e+03;5.279803159534e+18
1.395000000000e+03;5.260879464908e+18
1.400000000000e+03;5.242090460457e+18
1.405000000000e+03;5.223435596424e+18
1.410000000000e+03;5.204912673787e+18
1.415000000000e+03;5.186520593033e+18
1.420000000000e+03;5.168258254652e+18
1.425000000000e+03;5.150124009375e+18
1.430000000000e+03;5.132116757691e+18
1.435000000000e+03;5.114234850333e+18
1.440000000000e+03;5.096476638032e+18
1.445000000000e+03;5.078842120790e+18
1.450000000000e+03;5.061328549827e+18
1.455000000000e+03;5.043935925143e+18
1.460000000000e+03;5.026662047715e+18
1.465000000000e+03;5.009506367787e+18
1.470000000000e+03;4.992467236091e+18
1.475000000000e+03;4.975543553117e+18
1.480000000000e+03;4.958734219351e+18
1.485000000000e+03;4.942038135283e+18
1.490000000000e+03;4.925454201402e+18
1.495000000000e+03;4.908980768438e+18
1.500000000000e+03;4.892617836394e+18
